Algorithm	File	Fitness	Time(s)
MemeticAlgorithm (SOME_BEST)	GKD-b_4_n25_m2	0	0.158861
MemeticAlgorithm (SOME_BEST)	GKD-b_5_n25_m2	0	0.159428
MemeticAlgorithm (SOME_BEST)	GKD-b_6_n25_m7	13.0225	0.106393
MemeticAlgorithm (SOME_BEST)	GKD-b_7_n25_m7	15.7869	0.108097
MemeticAlgorithm (SOME_BEST)	GKD-b_8_n25_m7	17.6006	0.108999
MemeticAlgorithm (SOME_BEST)	GKD-b_9_n25_m7	17.6536	0.107085
MemeticAlgorithm (SOME_BEST)	GKD-b_10_n25_m7	25.2613	0.109326
MemeticAlgorithm (SOME_BEST)	GKD-b_11_n50_m5	4.90242	0.0937834
MemeticAlgorithm (SOME_BEST)	GKD-b_12_n50_m5	4.18182	0.0948159
MemeticAlgorithm (SOME_BEST)	GKD-b_13_n50_m5	5.08149	0.0904654
MemeticAlgorithm (SOME_BEST)	GKD-b_14_n50_m5	6.02003	0.0924237
MemeticAlgorithm (SOME_BEST)	GKD-b_15_n50_m5	5.10974	0.0897776
MemeticAlgorithm (SOME_BEST)	GKD-b_16_n50_m15	60.782	0.139427
MemeticAlgorithm (SOME_BEST)	GKD-b_17_n50_m15	73.4011	0.147583
MemeticAlgorithm (SOME_BEST)	GKD-b_18_n50_m15	65.442	0.137352
MemeticAlgorithm (SOME_BEST)	GKD-b_19_n50_m15	63.6268	0.137354
MemeticAlgorithm (SOME_BEST)	GKD-b_20_n50_m15	69.5645	0.138534
MemeticAlgorithm (SOME_BEST)	GKD-b_21_n100_m10	25.7933	0.152741
MemeticAlgorithm (SOME_BEST)	GKD-b_22_n100_m10	24.3622	0.147801
MemeticAlgorithm (SOME_BEST)	GKD-b_23_n100_m10	24.1405	0.156563
MemeticAlgorithm (SOME_BEST)	GKD-b_24_n100_m10	24.4893	0.144175
MemeticAlgorithm (SOME_BEST)	GKD-b_25_n100_m10	26.7979	0.151678
MemeticAlgorithm (SOME_BEST)	GKD-b_26_n100_m30	240.176	0.407902
MemeticAlgorithm (SOME_BEST)	GKD-b_27_n100_m30	232.995	0.431053
MemeticAlgorithm (SOME_BEST)	GKD-b_28_n100_m30	191.509	0.451228
MemeticAlgorithm (SOME_BEST)	GKD-b_29_n100_m30	193.83	0.422611
MemeticAlgorithm (SOME_BEST)	GKD-b_30_n100_m30	203.21	0.414201
MemeticAlgorithm (SOME_BEST)	GKD-b_31_n125_m12	25.1831	0.222467
MemeticAlgorithm (SOME_BEST)	GKD-b_32_n125_m12	33.6197	0.195125
MemeticAlgorithm (SOME_BEST)	GKD-b_33_n125_m12	28.9562	0.202295
MemeticAlgorithm (SOME_BEST)	GKD-b_34_n125_m12	39.5452	0.205601
MemeticAlgorithm (SOME_BEST)	GKD-b_35_n125_m12	31.9777	0.193827
MemeticAlgorithm (SOME_BEST)	GKD-b_36_n125_m37	261.151	0.585277
MemeticAlgorithm (SOME_BEST)	GKD-b_37_n125_m37	321.017	0.724347
MemeticAlgorithm (SOME_BEST)	GKD-b_38_n125_m37	351.281	0.652449
MemeticAlgorithm (SOME_BEST)	GKD-b_39_n125_m37	265.894	0.702652
MemeticAlgorithm (SOME_BEST)	GKD-b_40_n125_m37	311.754	0.613923
MemeticAlgorithm (SOME_BEST)	GKD-b_41_n150_m15	43.0689	0.282973
MemeticAlgorithm (SOME_BEST)	GKD-b_42_n150_m15	51.1598	0.289477
MemeticAlgorithm (SOME_BEST)	GKD-b_43_n150_m15	43.6805	0.298084
MemeticAlgorithm (SOME_BEST)	GKD-b_44_n150_m15	46.3778	0.282024
MemeticAlgorithm (SOME_BEST)	GKD-b_45_n150_m15	49.0789	0.267199
MemeticAlgorithm (SOME_BEST)	GKD-b_46_n150_m45	429.883	0.992389
MemeticAlgorithm (SOME_BEST)	GKD-b_47_n150_m45	395.135	1.02595
MemeticAlgorithm (SOME_BEST)	GKD-b_48_n150_m45	342.394	0.950215
MemeticAlgorithm (SOME_BEST)	GKD-b_49_n150_m45	442.654	0.947828
MemeticAlgorithm (SOME_BEST)	GKD-b_50_n150_m45	406.909	0.979683
